字詞		中文釋義		考題
in		[形容詞] 在裡面的; [副詞] 進;在裡頭;在家; [介系詞] 在…之內		486
inch		[動詞] 使緩慢地移動; [名詞] 英吋		
insect		[名詞] 昆蟲		1
inside		[形容詞] 裡面的,內側的;內幕的; [副詞] 在裡面;往裡面; [介系詞] 在…裡面; [名詞] 內部,裡面;內幕		13
interest		[動詞] 使發生興趣; [名詞] 興趣		13
interested		[形容詞] 感興趣的		24
interesting		[形容詞] 有趣的		26
Internet		[名詞] 網際網路		13
interview		[動詞] 面談;採訪; [名詞] 面談;採訪		10
into		[介系詞] 進入		52
invite		[動詞] 邀請		22
is		[動詞] 是,在; be 動詞第三人稱,單數,現在式		515
island		[名詞] 島嶼		11
isn't		[縮短形] is not		14
it		[代名詞] 它		379
item		[名詞] 項目;品目		1
it'll		[縮短形] it will		4
its		[代名詞] (所有格) 它的		37
it's		[縮短形] it is; it has		115
itself		[代名詞] (反身代名詞) 它自己		6
I've		[縮短形] I have		32
jacket		[名詞] 夾克;外套		13
January		[名詞] 一月		3
jeans		[名詞] 牛仔褲		3
job		[名詞] 職業;工作		44
jog		[動詞] 慢跑; [名詞] 輕推;輕撞;慢跑;緩行;暗示		8
join		[動詞] 加入; [名詞] 接合點;接連處		28
joke		[動詞] 開玩笑; [名詞] 笑話		3
joy		[名詞] 歡喜;樂趣		10
juice		[名詞] 果汁		4
July		[名詞] 七月		10
jump		[動詞] 跳躍; [名詞] 跳躍;暴漲		14
June		[名詞] 六月		14
junior high school		[片語] 初級中學		8
just		[形容詞] 正直的;公平的;應得的;正確的; [副詞] 正好;剛才		115
keep		[動詞] 保留;保持; [名詞] 生活費,生計		67
key		[形容詞] 重要的,基本的,關鍵的; [動詞] 鎖上;插上;為...調音;用鍵盤輸入; [名詞] 鑰匙		8
kick		[動詞] 踢; [名詞] 踢;反衝,後座力;刺激,快感		5
kid		[動詞] 戲弄; [名詞] 小孩		21
kill		[動詞] 殺; [名詞] 獵獲物;屠殺		15
kilogram		[名詞] 公斤		
kind		[形容詞] 仁慈的; [名詞] 種類		38
king		[名詞] 國王		7
kiss		[動詞] 親吻; [名詞] 吻		1
kitchen		[名詞] 廚房		20
kite		[名詞] 風箏		2
knee		[動詞] 用膝蓋碰(撞); [名詞] 膝蓋		3
knife		[動詞] (用刀)切;戮,刺; [名詞] 刀子		6
knock		[動詞] 敲; [名詞] 敲;擊,打;指摘,挑剔		6
know		[動詞] 知道		143
knowledge		[名詞] 學問;知識		6
lake		[名詞] 湖		8
lamp		[名詞] 燈		5
land		[動詞] 登陸; [名詞] 陸地		11
language		[名詞] 語言		29
large		[形容詞] 大的		12
last		[形容詞] 最後的; [動詞] 持續; [副詞] 最後地; [名詞] 最後的人(或事物);最後;上回		94
late		[形容詞] 晚的;遲的; [副詞] 遲到,來不及;晚		65
laugh		[動詞] 笑; [名詞] 笑,笑聲		8
lawyer		[名詞] 律師		
lazy		[形容詞] 懶惰的		8
lead		[動詞] 引導; [名詞] 指導;領先地位;線索,鉛筆心		3
leader		[名詞] 領袖		3
learn		[動詞] 學習		73
least		[形容詞] 最小的;最少的;最不重要的; [副詞] 最小;最少;最不; [名詞] 最少; [代名詞] 最少；最小		16
leave		[動詞] 離開;丟下; [名詞] 准假;休假		30
left		[形容詞] 左邊的; [副詞] 在左邊;向左; [名詞] 左,左邊;激進分子們		29
leg		[名詞] 腿		12
lemon		[名詞] 檸檬		3
lend		[動詞] 出借		8
less		[形容詞] 較少的; [副詞] 較小地,較少地;不如; [介系詞] 減去;扣除;差...; [代名詞] 更少，較小		20
lesson		[名詞] 課;教訓		18
let		[動詞] 讓		27
let's		[縮短形] let us		30
letter		[名詞] 信;字母		28
level		[形容詞] 水平的,平的;筆直的; [名詞] 水平線		2
library		[名詞] 圖書館		15
lie		[動詞] 說謊;躺; [名詞] 謊言		7
life		[名詞] 人生;生命		79
light		[形容詞] 輕的; [動詞] 點(火);點燃;照亮; [副詞] 輕地;輕裝地; [名詞] 光線;燈		23
like		[動詞] 喜歡; [介系詞] 像;如; [名詞] 愛好		176
line		[動詞] 排隊; [名詞] 線;隊伍		16
lion		[名詞] 獅子		4
lip		[名詞] 嘴唇		4
list		[動詞] 列成表; [名詞] 單子		9
listen		[動詞] 傾聽		21
little		[形容詞] 很少的; [副詞] 一點點; [名詞] 沒有多少;短時間;短距離		68
live		[形容詞] 活的,有生命的;燃著的;實況播送的; [動詞] 居住		64
living room		[名詞] 客廳		12
lonely		[形容詞] 寂寞的		5
long		[形容詞] 長的; [動詞] 長久地;始終; 渴望; [副詞] 長久地;始終		65
look		[動詞] 看; [名詞] 看;瞥;臉色;眼神;表情		163
lose		[動詞] 輸;失去		21
loud		[形容詞] 大聲的; [副詞] 大聲地,響亮地		14
love		[動詞] 愛，愛好；喜歡; [名詞] 愛		90
lovely		[形容詞] 動人的		4
low		[形容詞] 低的;矮的; [副詞] 低,向下地;低聲地;低價地; [名詞] 低水平,低點;;低速		9
lucky		[形容詞] 幸運的		27
lunch		[動詞] 吃午餐; [名詞] 午餐		19
machine		[動詞] 用機器做; [名詞] 機器		14
mad		[形容詞] 發火;發瘋;發狂的		1
magic		[形容詞] 不可思議的;有魔力的; [名詞] 魔術		11
mail		[動詞] 寄信; [名詞] 信件		6
mailman		[名詞] 郵差		3
main		[形容詞] 最主要的; [名詞] 總管道;主要部分;要點		10
make		[動詞] 製造; 使得		155
man		[動詞] 給...配置人員; [名詞] 男人; 人類		39
many		[形容詞] 很多的; [代名詞] 許多		130
map		[動詞] 繪製...的地圖;詳細計劃; [名詞] 地圖		20
march		[名詞] 三月		8
mark		[動詞] 做記號; [名詞] 記號		12
marker		[名詞] 標誌;白板筆;馬克筆		
market		[動詞] (在市場上)銷售; [名詞] 市場		22
married		[形容詞] 已婚的		19
mask		[動詞] 在(臉上)戴面具;掩飾; [名詞] 面具		1
math		[名詞] 數學		13
mathematics		[名詞] 數學		1
matter		[動詞] 有關係,要緊; [名詞] 事情		1
may		[助動詞] 可能; [名詞] 五月		80
maybe		[副詞] 可能;也許		24
me		[代名詞] (受格) 我		179
meal		[名詞] 餐		8
mean		[形容詞] 兇的;吝嗇的; [動詞] 意指		40
meat		[名詞] 肉類		5
medicine		[名詞] 藥		14
medium		[形容詞] 中間的；中等的; [名詞] 媒體;媒介；手段；傳播媒介		4
meet		[動詞] 遇見; [名詞] 集會;競賽大會		43
member		[名詞] 會員		
menu		[名詞] 菜單		5
metro		[名詞] 地下鐵道,大都市		3
middle		[形容詞] 中間的; [動詞] 放在中間;對摺; [名詞] 中央		2
mightn't		[縮短形] might not		
mile		[名詞] 英哩		1
milk		[動詞] 擠(奶);榨取;偷聽電訊; [名詞] 牛奶		7
million		[名詞] 百萬		7
mind		[動詞] 介意; [名詞] 心智		17
mine		[動詞] 開礦;佈雷;破壞; [名詞] 我的東西;礦;源泉;地雷;坑道; [代名詞] (所有格) 我的(東西)		12
minute		[形容詞] 微小的;瑣細的;詳細的; [名詞] 分鐘		31
miss		[動詞] 想念;惦記;未達到; [名詞] 少女		37
mistake		[動詞] 弄錯,誤解;弄錯,搞錯; [名詞] 錯誤;誤會		7
modern		[形容詞] 現代的		8
mom		[名詞] 母親		60
moment		[名詞] 片刻		18
mommy		[名詞] 母親		1
Monday		[名詞] 星期一		13
money		[名詞] 錢		56
monkey		[名詞] 猴子		2
month		[名詞] 月份		57
moon		[名詞] 月亮		5
mop		[動詞] 拖洗;擦去; [名詞] 拖把		3
more		[形容詞] 更多的; [副詞] 更多;另外;再; [名詞] 更多的數量; [代名詞] 更多的數量		126
morning		[名詞] 早晨		60
most		[形容詞] 最多的;大部分的; [副詞] 最;最多;非常,很; [代名詞] 大部分		100
mother		[動詞] 生下;產生出; [名詞] 母親		28
motorcycle		[名詞] 機車		7
mountain		[名詞] 山		17
mouse		[名詞] 老鼠; 滑鼠		4
mouth		[動詞] 誇大地說話; [名詞] 嘴巴		2
move		[動詞] 移動; [名詞] 動,移動;移居		36
movie		[名詞] 電影		49
Mr.		[縮寫] 先生; [名詞] 先生		59
Mrs.		[縮寫] 女士;太太; [名詞] 夫人，太太		26
Ms.		[縮寫] 女士或小姐; [名詞] 女士		24
much		[形容詞] 很多的; [副詞] 非常;很;差不多,幾乎; [代名詞] 許多,大量;重要的事物		104
mud		[名詞] 泥巴		2
museum		[名詞] 博物館		13
music		[名詞] 音樂		35
must		[助動詞] 必須; [名詞] 必須做的事;不可少的事物		22
mustn't		[縮短形] must not		
my		[代名詞] (所有格) 我的		241
myself		[代名詞] (反身代名詞) 我自己		18
nail		[動詞] 將...釘牢;捕獲;揭露;擊,打; [名詞] 釘子;指甲		
name		[動詞] 給...取名;列舉; [名詞] 名字		33
national		[形容詞] 國家的		11
nature		[名詞] 自然		8
near		[形容詞] 近的; [動詞] 近,接近;幾乎,差不多; [副詞] 近地; [介系詞] 接近		34
neck		[動詞] 摟著脖子親吻;變細;變狹窄; [名詞] 脖子		3
need		[動詞] 需要; [助動詞] (用於疑問句和否定句)需要,必須; [名詞] 需要;需求;貧窮		72
neighbor		[動詞] 與...為鄰; [名詞] 鄰居		5
never		[副詞] 永不		66
new		[形容詞] 新的		113
news		[名詞] 新聞		25
newspaper		[名詞] 報紙		9
next		[形容詞] 下一個; [副詞] 接下去,然後;下次;第二		79
nice		[形容詞] 好的		40
night		[名詞] 夜晚		57
nine		[形容詞] 九的; [名詞] 九		8
nineteen		[形容詞] 十九的; [名詞] 十九		
ninety		[形容詞] 九十的; [名詞] 九十		
no		[形容詞] 沒有;不; [副詞] 不; [名詞] 不;沒有;拒絕;反對票		111
nobody		[名詞] 無名小子; [代名詞] 無人		7
nobody's		[縮短形] nobody is; nobody has		
noise		[名詞] 噪音		9
noisy		[形容詞] 喧鬧的		1
noodle		[名詞] 麵		2
noon		[名詞] 中午		4
north		[形容詞] 北方的; [副詞] 向北方; [名詞] 北方		8
nose		[動詞] 探問,探著;引導;嗅,聞; [名詞] 鼻子		2
not		[副詞] 不		248
note		[動詞] 注意;記下; [名詞] 筆記;音符;記錄;便條		6
notebook		[名詞] 筆記本		8
nothing		[名詞] 無事;無物;沒什麼; [代名詞] 無事;無物		14
notice		[動詞] 注意到;通知; [名詞] 注意;通知		20
November		[名詞] 十一月		5
now		[副詞] 現在; [名詞] 現在,目前,此刻		131
number		[動詞] 編號,總數達到,共計; [名詞] 號碼;數字		26
nurse		[動詞] 看護,護理;給...餵奶;培育;當奶媽; [名詞] 護士		1
o'clock		[副詞] ...點鐘; [名詞] 點鐘		19
October		[名詞] 十月		9
of		[介系詞] …的，屬於		419
off		[形容詞] 離去的;偏離的;休假的;關著的; [副詞] 脫下; [介系詞] 離去		34
office		[名詞] 辦公室		29
officer		[名詞] 軍官;官員		6
often		[副詞] 常常		53
oil		[動詞] 給...加潤滑油;賄賂; [名詞] 油		5
OK		[形容詞] 好吧; [動詞] 尚可;挺好;批准; [副詞] 尚可;挺好;對吧; [名詞] 認可,批准		27
old		[形容詞] 年老的		68
on		[副詞] 繼續;向前;開著;;在進行中; [介系詞] 在…上面		309
once		[副詞] 一次; [連接詞] 一旦,一經...便; [名詞] 一次,一回		14
one		[形容詞] 一個的; [名詞] 一;一個人;一件事物; [代名詞] 任何人		216
only		[形容詞] 唯一的，僅有的；最好的; [副詞] 只,僅僅,才;不料;反而; [連接詞] 可是,不過;要不是,若非		109
open		[形容詞] 打開的;空曠的;未定的;營業的;公開的; [動詞] 打開; [名詞] 戶外,野外;曠野,空地;公開賽		37
or		[連接詞] 或		98
orange		[形容詞] 橙色的; [名詞] 柳橙;橙色		6
order		[動詞] 點菜;訂購; [名詞] 定單		20
other		[形容詞] 其他的; [代名詞] 其他的人或物		81
our		[代名詞] 我們的 (所有格)		83
ours		[代名詞] (所有格) 我們的(東西)		3
ourselves		[代名詞] (反身代名詞) 我們自己		3
out		[形容詞] 在外的; [動詞] 出現;問世;顯露; [副詞] 在外地; [介系詞] 通過...而出; [名詞] 託辭;(棒球等)出局		101
outside		[形容詞] 外邊的,外部的; [副詞] 外面地; [介系詞] 在外; [名詞] 外面,外部;外側;外表		16
over		[形容詞] 結束了; [副詞] 在上方;越過;過分,太;再一次; [介系詞] 在…之上		47
own		[形容詞] 自己的; [動詞] 擁有		26
p.m.		[副詞] 下午		31
pack		[動詞] 包裝; [名詞] 一小包		9
package		[動詞] 把...打包;包裝; [名詞] 包裹		7
page		[名詞] 頁		9
paint		[動詞] 畫圖;油漆; [名詞] 油漆,塗料		12
pair		[動詞] 成對,配對; [名詞] 一副		9
pants		[名詞] 褲子		8
papaya		[名詞] 木瓜		2
paper		[動詞] 用紙包;掩蓋,粉飾; [名詞] 紙張		7
parent		[名詞] (父親；母親) 雙親之一		41
park		[動詞] 停放車輛; 放置; [名詞] 公園		45
part		[動詞] 使分開,使分離;斷裂;告別; [名詞] 部份		24
party		[動詞] 開派對;參加派對; [名詞] 派對		46
pass		[動詞] 及格;經過;超過;傳遞; [名詞] 通行證;護照;及格;傳球動作;山隘		13
past		[形容詞] 過去的; [副詞] 過;經過;越過; [介系詞] 走過; [名詞] 過去,昔日;往事;經歷;過去式		21
paste		[動詞] 黏貼; [名詞] 漿糊		1
pay		[動詞] 付錢; [名詞] 薪俸;報酬;報償;懲罰		22
PE		[縮寫] 體育課 (physical education)		8
peach		[名詞] 桃子		2
pear		[名詞] 梨子		1
pen		[動詞] 寫;寫作;囚禁; [名詞] 原子筆;墨水筆		2
pencil		[動詞] 草擬,起草; [名詞] 鉛筆		6
people		[動詞] 使人住在,居住於; [名詞] 人們		190
perhaps		[副詞] 或許;可能		10
person		[名詞] 人		32
pet		[動詞] 把...當作寵兒;寵愛;撫弄;生氣; [名詞] 寵物		14
phone		[動詞] 打電話; [名詞] 電話		26
photo		[動詞] 給...拍照; 拍照;在照片上顯得; [名詞] 相片		5
physical education		[片語] 體育課		
piano		[名詞] 鋼琴		10
pick		[動詞] 採收;撿起;選; [名詞] 精華,最好的部分;收穫(量)		22
picnic		[動詞] 去野餐,參加野餐;在戶外用餐; [名詞] 野餐		4
picture		[動詞] 畫,拍攝;描述; [名詞] 圖畫;照片		61
pie		[名詞] 派(食品)		7
piece		[動詞] 拼湊;拼合;修理;修補; [名詞] 件;片		10
pig		[動詞] 生小豬;像豬一樣過活; [名詞] 豬		
pin		[動詞] 釘住;壓住;按住;把...歸罪於; [名詞] 大頭針;胸針		
pink		[形容詞] 粉紅色的; [名詞] 粉紅色		4
pipe		[動詞] 用管道輸送;吹奏管樂;尖聲叫嚷; [名詞] 管子		
pizza		[名詞] 披薩		7
place		[動詞] 放置,安置;任命; [名詞] 地方		57
plan		[動詞] 計劃; [名詞] 計畫		43
plane		[名詞] 飛機		8
planet		[名詞] 行星		3
plant		[動詞] 栽種;播種; [名詞] 植物,農作物;工廠		5
plate		[動詞] 鍍;電鍍; [名詞] 盤;碟		6
play		[動詞] 玩; [名詞] 遊戲;戲劇		70
player		[名詞] 遊戲者;運動者;表演者		17
playground		[名詞] 遊樂場;運動場		7
please		[動詞] 請;取悅; [副詞] (用於請求或命令)請		40
pleasure		[名詞] 愉快		3
pocket		[形容詞] 袖珍的;小型的;錢的;零星花用的; [動詞] 侵吞;擊(球)落袋;忍受; [名詞] 口袋		3
point		[動詞] 瞄準;指出;強調;對準; [名詞] 點;要點		6
police		[動詞] 管理,監督; [名詞] 警察		15
polite		[形容詞] 有禮貌的		14
pond		[名詞] 池塘		4
pool		[動詞] 合辦,聯營; [名詞] 水池;美式撞球		2
poor		[形容詞] 貧窮的		19
pop		[形容詞] 通俗的,流行的; [動詞] 發出砰(或啪)的響聲; [副詞] 突然地; [名詞] 流行音樂,汽水,發出砰的一聲,		
popcorn		[名詞] 爆米花		
popular		[形容詞] 流行的;受歡迎的		47
pork		[名詞] 豬肉		3
possible		[形容詞] 可能的		12
post office		[名詞] 郵局		4
postcard		[名詞] 明信片		2
pot		[動詞] 把...放在罐(或鍋)裡;亂射; [名詞] 罐;鍋		7
pound		[動詞] 敲打;(心等)劇跳;腳步沈重地走; [名詞] 磅		1
power		[動詞] 給...提供動力; 快速前進; [名詞] 權力;動力		8
practice		[動詞] 練習;訓練; [名詞] 練習		11
pray		[動詞] 禱告		3
prepare		[動詞] 準備		15
present		[形容詞] 出席的;當前的;現在式的; [動詞] 提出; [名詞] 禮物		16
pretty		[形容詞] 漂亮的; [副詞] 十分地		12
price		[動詞] 給...定價; [名詞] 價錢		34
prize		[動詞] 重視,珍視;估價; [名詞] 獎品		8
problem		[名詞] 問題		58
program		[動詞] 為...安排節目;設計電腦程式; [名詞] 節目		16
proud		[形容詞] 感光榮的;驕傲的		17
public		[形容詞] 公開的;公立的; [名詞] 公眾,民眾		14
pull		[動詞] 拉; [名詞] 拉,拖		7
pumpkin		[名詞] 南瓜		3
puppy		[名詞] 小狗		1
purple		[形容詞] 紫色的; [名詞] 紫色		4
push		[動詞] 推開; [名詞] 推;推進;奮發;緊迫		3
put		[動詞] 放置		45
quarter		[動詞] 把...四等分;供...住宿;;駐紮; [名詞] ¼;美金25分;15分鐘		
queen		[名詞] 皇后		3
question		[動詞] 詢問; [名詞] 問題		68
quick		[形容詞] 快的; [副詞] 快,迅速地		23
quiet		[形容詞] 安靜的; [動詞] 使安靜;撫慰,安慰; [名詞] 安靜;寂靜;安穩;和平		22
quite		[副詞] 完全地;相當		10
quiz		[動詞] 挖苦,嘲弄;考問; [名詞] 小考		2
R.O.C.		[縮寫] 中華民國		
rabbit		[名詞] 兔子		5
race		[動詞] 與...賽跑; [名詞] 競賽;(生物的)種類		4
radio		[動詞] 用無線電傳送; [名詞] 收音機		8
rain		[動詞] 下雨; [名詞] 雨		22
rainbow		[名詞] 彩虹		5
rainy		[形容詞] 下雨的;多雨的		4
raise		[動詞] 舉起;提高; [名詞] 加薪;賭注加碼		3
rat		[名詞] 老鼠		2
reach		[動詞] 到;伸出; [名詞] 可及之範圍		3
read		[動詞] 閱讀		112
ready		[形容詞] 準備好的; [動詞] 預先,事先;使準備好		17
real		[形容詞] 真實的		92
reason		[動詞] 推論,推理; [名詞] 理由		4
red		[形容詞] 紅色的; [名詞] 紅色		12
refrigerator		[名詞] 電冰箱		6
relative		[形容詞] 有關的;相對的; [名詞] 親戚		
remember		[動詞] 記得		53
repeat		[動詞] 重複; [名詞] 重複;重播;複寫;副本;		7
report		[動詞] 報告;報導; [名詞] 報告		18
reporter		[名詞] 記者		1
rest		[動詞] 休息; [名詞] 休息;靜止;安息;休止符;其餘		11
restaurant		[名詞] 餐廳		38
restroom		[名詞] 廁所; [名詞] 廁所		3
rice		[名詞] 稻米;飯		7
rich		[形容詞] 富有的; [名詞] 有錢人		6
ride		[動詞] 騎;乘; [名詞] 搭乘;兜風		17
right		[形容詞] 右邊;對的; [副詞] 向右地;馬上; [名詞] 公理;權利		59
ring		[動詞] (鐘,鈴等)鳴,響; [名詞] 指環;鈴聲		12
rise		[動詞] 起身;升起; [名詞] (數量,程度等)增加,上漲;上升		14
river		[名詞] 河流		18
road		[名詞] 道路		25
robot		[名詞] 機器人		2
ROC		[縮寫] 中華民國		
rock		[動詞] 搖動; [名詞] 岩石;搖滾樂		1
roll		[動詞] 捲;滾; [名詞] 滾動;(一)捲;捲餅;隆隆聲;名單		2
room		[動詞] 居住; 為...提供住處; [名詞] 房間		37
root		[動詞] 使生根;使紮根; [名詞] 根		
rope		[動詞] 捆,紮,縛,綁; [名詞] 粗繩		1
round		[形容詞] 圓形的; [動詞] 變圓;發胖;兜圈子,環行; [副詞] 環繞地;循環地;在附近;逐一,挨次; [介系詞] 圍繞,環繞;在...附近;大約; [名詞] 一輪,一回合,一場,一局;圓形物		2
row		[動詞] 划船; [名詞] 行列		
rule		[動詞] 統治;裁決; [名詞] 規則		19
ruler		[名詞] 尺;統治者		2
run		[動詞] 跑; [名詞] 跑;連續的演出;趨勢,動向;擠兌		25
sad		[形容詞] 難過的		30
safe		[形容詞] 安全的; [名詞] 保險箱		24
sail		[動詞] 航行; [名詞] 帆,篷;帆狀物;船隻		3
salad		[名詞] 沙拉		1
sale		[名詞] 售賣;賤賣		10
salesman		[名詞] 售貨員		
salt		[形容詞] 鹹水的;含鹽的;(故事,笑話等)猥褻的; [動詞] 給...加鹽;用鹽醃; [名詞] 鹽		2
same		[形容詞] 相同的; [副詞] 同樣地; [代名詞] 同樣的人;同樣的事物		41
sandwich		[動詞] 將..夾在中間,擠進; [名詞] 三明治		5
Saturday		[名詞] 星期六		27
save		[動詞] 救;省;存錢		37
say		[動詞] 說		133
scared		[形容詞] 害怕的		11
school		[動詞] 教育,訓練; [名詞] 學校		124
science		[名詞] 科學		8
scooter		[名詞] 小輪摩托車		
screen		[名詞] 屏;銀幕		2
sea		[名詞] 海		14
season		[動詞] 給...調味;加味於; [名詞] 季節		15
seat		[動詞] 使就座; [名詞] 座位		9
second		[形容詞] 第二的;次要的,副的,從屬的; [副詞] 居第二位;第二,其次; [名詞] 第二;秒		33
secretary		[名詞] 秘書		1
see		[動詞] 看見		148
seed		[動詞] (植物)結實,結子;播種; [名詞] 種子		1
seesaw		[動詞] 玩蹺蹺板;上下(來回)搖動; [名詞] 蹺蹺板		
seldom		[副詞] 很少地		11
sell		[動詞] 賣		43
send		[動詞] 寄發;送		25
senior high school		[片語] 高級中學		3
sentence		[動詞] 宣判;判決; [名詞] 句子		4
September		[名詞] 九月		8
serious		[形容詞] 嚴肅的;嚴重的;認真的		30
service		[動詞] 維修,保養; [名詞] 服務		8
set		[形容詞] 固定的;下定決心的;準備好的;呆滯的; [動詞] 安放;設定; [名詞] 套;組		
seven		[形容詞] 七的; [名詞] 七		7
seventeen		[形容詞] 十七的; [名詞] 十七		1
seventy		[形容詞] 七十的; [名詞] 七十		
several		[形容詞] 幾個的; [代名詞] 幾個,數個		38
shake		[動詞] 搖動;握(手); [名詞] 搖動;奶昔		5
shape		[動詞] 使成形;塑造,製作; [名詞] 形狀		8
share		[動詞] 分享; [名詞] 股份;市場佔有率;分攤;貢獻		28
sharp		[形容詞] 尖銳的;敏銳的; [副詞] 整(指時刻);銳利地;機警地		4
she		[代名詞] 她		174
she'd		[縮短形] she had; she would		
sheep		[名詞] 綿羊		2
she'll		[縮短形] she will		7
she's		[縮短形] she is; she has		13
shine		[動詞] 照耀; [名詞] 光,光亮;光澤;擦亮;陽光,晴天		5
ship		[動詞] 用船運;郵寄;乘船; [名詞] 船		1
shirt		[名詞] 襯衫		8
shoe		[名詞] 鞋子		20
shop		[動詞] 購物; [名詞] 商店		62
shopkeeper		[名詞] 小店主		9
short		[形容詞] 矮的;短的		13
shorts		[名詞] 短褲		2
should		[助動詞] 將;萬一,竟然;該		95
shoulder		[動詞] 肩起,挑起;擔負,承擔; [名詞] 肩膀		2
shouldn't		[縮短形] should not		4
shout		[動詞] 呼叫; [名詞] 呼喊;喊叫聲		8
show		[動詞] 表演;顯示; [名詞] 展覽;電影		79
shower		[動詞] 傾注;洗淋浴; [名詞] 陣雨;淋浴		
shy		[形容詞] 害羞的		10
sick		[形容詞] 生病的		26
side		[形容詞] 側面的; [名詞] 邊		9
sidewalk		[名詞] 路邊行人道		4
sight		[動詞] 看見,發現;瞄準;察看; [名詞] 視力;景象		1
sign		[動詞] 簽字;做信號; [名詞] 記號		3
simple		[形容詞] 簡單的		11
since		[副詞] 此後;之前,以前; [介系詞] 由於;自從...之後; [連接詞] 自...以來;因為		50
sing		[動詞] 唱歌		27
singer		[名詞] 歌手		14
sir		[名詞] 先生		5
sister		[名詞] 姊;妹		38
sit		[動詞] 坐		24
six		[形容詞] 六的; [名詞] 六		19
sixteen		[形容詞] 十六的; [名詞] 十六		
sixty		[形容詞] 六十的; [名詞] 六十		1
size		[動詞] 按一定尺寸製作;估算; [名詞] 大小;尺寸		15
skirt		[動詞] 繞開,避開; [名詞] 裙子		
sky		[名詞] 天空		15
sleep		[動詞] 睡覺; [名詞] 睡眠;死亡;冬眠		30
slide		[動詞] 滑壘;滑動; [名詞] 滑梯;土崩		
slim		[形容詞] 細長的;微小的; [動詞] 減肥;減少,縮減		1
slow		[形容詞] 緩慢的; [動詞] 使慢,放慢; [副詞] 慢慢地;遲遲地;慢了地		13
small		[形容詞] 小的; [副詞] 小聲地;小小地,細小地; [名詞] 細小的部分;小件物品		41
smart		[形容詞] 聰明的		12
smell		[動詞] 聞; [名詞] 氣味;香味;臭味;嗅覺;一嗅,一聞;少許;跡象,影蹤		10
smile		[動詞] 微笑; [名詞] 微笑		13
smoke		[動詞] 抽煙;冒煙; [名詞] 煙		6
snack		[動詞] 吃快餐;吃點心; [名詞] 點心		12
snake		[動詞] 蛇行; [名詞] 蛇		3
snow		[動詞] 下雪; [名詞] 雪		8
snowy		[形容詞] 似雪的;多雪的		2
so		[副詞] 這麼;也如此; [連接詞] 因此		207
soccer		[名詞] 足球		4
socks		[名詞] 一雙襪子		4
sofa		[名詞] 沙發		3
soldier		[名詞] 軍人		2
some		[形容詞] 一些的; [代名詞] 一些		159
somebody		[名詞] 某人;有名氣的人; [代名詞] 某人		2
somebody's		[縮短形] somebody is; somebody has		
someone		[名詞] 某人;有名氣的人; [代名詞] 某人		20
something		[名詞] 某人;某事;重要的人(或事物);; [代名詞] 某事		45
sometimes		[副詞] 有時候		15
somewhere		[副詞] 在某處		9
son		[名詞] 兒子		20
song		[名詞] 歌曲		20
soon		[副詞] 即刻;不久		38
sore		[形容詞] 疼痛的; [名詞] 痛處;瘡,潰瘍;傷心事		
sorry		[形容詞] 抱歉;遺憾的; [感歎詞] 對不起		29
sound		[形容詞] 完好的;堅固的;合理的,明智的;殷實的; [動詞] 聽起來; [名詞] 聲音		19
soup		[名詞] 湯		5
south		[形容詞] 南方的; [副詞] 向南方; [名詞] 南方		8
space		[動詞] 隔開; [名詞] 空位;太空		14
speak		[動詞] 說;講		30
special		[形容詞] 特別的; [名詞] 特刊;特別節目;特色菜;特價商品		46
spell		[動詞] 拼字; [名詞] (一段)工作時間;一段時間;輪班;魅力		3
spend		[動詞] 花費(錢或時間)		38
spider		[名詞] 蜘蛛		
spoon		[動詞] 用匙舀;舀取; [名詞] 湯匙		3
sports		[形容詞] 運動的		24
spring		[動詞] 彈開;湧現;源(於); [名詞] 春天;春季;泉		20
square		[形容詞] 正方形的; [名詞] 正方形		8
stairs		[名詞] 樓梯		1
stamp		[動詞] 頓足;蓋印; [名詞] 郵票;印章		
stand		[動詞] 站住; 堅持; 面對; 承擔...任務; [名詞] 攤子;停止,站立；立場;態度		13
star		[動詞] 主演;表現出色; [名詞] 星星;明星		20
start		[動詞] 開始; [名詞] 出發;開端;啟動		79
station		[動詞] 駐紮,部署,配置; [名詞] 車站;場所		31
stay		[動詞] 停留; [名詞] 停留,逗留;停止;延後;持續力		51
steak		[名詞] 牛排		5
still		[形容詞] 靜止的; [動詞] 使平靜;止住; [副詞] 仍然; [名詞] 靜物畫;寂靜; 蒸餾室		84
stomach		[名詞] 胃		5
stop		[動詞] 停止; [名詞] 車站		49
store		[動詞] 貯存;收存;供應;蓄有; [名詞] 商店		37
story		[名詞] 故事;樓層		41
straight		[形容詞] 直的; [副詞] 直,挺直地;正直地;立刻; [名詞] 直,挺直;(紙牌)五張順牌		3
strange		[形容詞] 奇怪的		22
strawberry		[名詞] 草莓		3
street		[名詞] 街道		31
string		[動詞] (用線,繩)縛,紮,掛；給...裝上弦; [名詞] 線;細繩;帶子;（球拍的、樂器的）弦;字串		
strong		[形容詞] 強壯的		34
student		[名詞] 學生		59
study		[動詞] 學習;讀書; [名詞] 書房		47
stupid		[形容詞] 笨的		7
subject		[形容詞] 隸屬的,受支配的; [動詞] 使隸屬;使服從;提供; [名詞] 主題;學科		5
successful		[形容詞] 成功的		14
sugar		[動詞] 加糖於;粉飾; [名詞] 糖		6
